"Atalay and Penzien, 1975, Spec. 5"	
-4.7671	8.2074
-1.7877	12.179
0.64554	15.62
2.2345	18.136
5.2139	22.901
7.1008	26.74
8.5905	29.785
10.329	33.094
12.017	37.198
13.457	39.448
15.94	42.89
17.628	45.009
20.558	48.581
21.75	50.169
23.984	52.553
26.02	55.333
28.453	58.509
29.842	59.701
32.675	62.748
34.709	64.865
36.548	66.191
37.589	66.982
38.931	67.512
38.136	61.818
36.896	56.392
36.101	53.216
35.156	48.981
33.866	43.817
32.923	40.11
32.078	37.331
30.688	33.227
28.801	29.123
27.211	25.417
25.624	22.372
23.835	19.195
21.998	16.415
20.608	14.297
18.721	11.12
16.983	8.7368
15.294	6.4865
13.358	4.3685
11.57	2.3828
9.4844	-0.13238
8.1933	-1.8533
6.4554	-4.2361
5.065	-6.0893
3.9228	-7.6781
1.6883	-11.517
0.099314	-14.032
-1.3407	-16.415
-3.9228	-21.048
-5.1643	-23.299
-6.2568	-25.549
-7.8953	-29.255
-8.9878	-31.374
-9.8816	-33.227
-12.613	-38.257
-14.103	-40.375
-16.337	-44.082
-17.827	-46.201
-20.012	-49.377
-21.849	-51.761
-23.636	-54.274
-25.87	-57.054
-26.965	-58.247
-30.589	-62.352
-32.177	-64.202
-33.866	-65.394
-35.801	-66.453
-36.845	-67.116
-37.689	-67.779
-39.03	-68.57
-39.675	-68.971
-39.428	-65.261
-38.981	-62.748
-38.732	-61.027
-38.186	-58.776
-37.541	-56.263
-36.497	-51.89
-36.149	-49.511
-35.603	-47.26
-34.511	-43.685
-33.716	-41.037
-32.276	-36.801
-31.234	-33.492
-29.944	-29.917
-28.849	-27.534
-26.518	-21.975
-23.736	-16.68
-21.7	-13.9
-18.025	-9.0019
-16.089	-6.2219
-14.847	-4.1037
-12.96	-1.5885
-11.421	0.39714
-9.2857	3.0447
-7.1008	6.2219
-5.4623	8.7368
-4.5684	9.7958
-3.1283	11.517
-2.0359	12.973
-0.39726	14.959
1.3904	17.474
2.8303	19.857
4.9657	23.563
5.9091	25.284
7.8953	29.785
11.322	35.08
14.748	41.169
15.89	42.758
17.231	44.347
18.423	45.934
20.21	48.185
21.303	49.64
22.345	50.832
23.339	52.157
24.779	54.012
26.02	55.467
27.31	57.054
28.504	58.38
29.794	59.305
31.184	59.968
32.525	60.631
33.518	61.16
34.958	61.556
36.449	61.818
37.937	62.352
