Galeota 1996 Specimen BB4	
-21.64	-11.784
-21.34	-10.165
-20.92	-8.352
-20.61	-6.863
-20.31	-5.309
-19.9	-3.691
-19.4	-3.108
-19.01	-1.619
-18.72	-0.259
-18.2	1.165
-17.91	3.302
-17.6	4.726
-17.31	6.28
-17.01	7.705
-16.65	9.388
-16.26	11.136
-15.75	11.525
-15.53	12.82
-15.23	14.115
-14.97	15.669
-14.7	16.834
-14.42	18.323
-14.12	20.136
-13.8	21.755
-13.31	22.532
-13	24.215
-12.69	25.898
-12.38	27.258
-12.07	29.006
-11.76	30.56
-11.32	32.179
-11	33.603
-10.5	34.769
-10.17	36.258
-9.83	37.488
-9.49	39.171
-9.13	40.596
-8.77	42.085
-8.42	43.704
-7.9	44.675
-7.54	46.293
-7.17	48.042
-6.8	49.466
-6.43	50.89
-6.06	52.315
-5.53	53.156
-5.16	54.905
-4.79	56.459
-4.42	58.077
-4.04	59.372
-3.66	60.926
-3.16	62.739
-2.63	63.645
-2.26	65.199
-1.87	66.753
-1.49	68.242
-1.24	69.602
-0.85	70.897
-0.47	72.386
0.06	73.357
0.45	75.105
0.83	76.659
1.22	78.213
1.6	79.702
1.99	81.127
2.52	81.774
2.91	83.522
3.29	84.882
3.66	86.436
4.04	87.925
4.53	89.349
5.03	89.867
5.28	91.227
5.68	92.652
6.07	94.141
6.6	95.695
6.99	97.184
7.38	98.349
7.93	99.061
8.33	101.004
8.72	102.299
9.12	103.723
9.65	105.212
10.18	107.155
10.73	107.867
11.12	108.968
11.52	110.586
12.05	112.334
12.6	113.629
13.16	113.888
13.56	115.572
13.96	117.126
14.5	118.226
15.04	119.651
15.45	120.946
16	122.241
16.57	122.305
17.12	124.118
17.67	125.413
18.21	126.643
18.76	128.068
19.34	128.974
19.92	129.298
20.46	130.852
21.02	132.017
21.57	132.988
22.14	133.96
22.71	135.06
23.27	135.319
23.83	136.29
24.4	137.521
24.98	138.233
25.55	138.945
26.13	139.074
26.69	140.046
27.32	140.823
27.89	141.858
28.48	141.405
29.06	142.376
29.65	142.894
30.24	143.801
30.83	144.189
31.43	144.837
32.02	144.513
32.62	145.096
33.21	145.29
33.81	145.549
34.4	146.067
35.05	145.549
35.65	146.261
36.26	146.585
36.87	146.844
37.49	146.65
38.15	146.585
38.86	144.189
39.44	145.096
39.49	143.801
40.06	144.707
40.16	142.7
39.86	140.175
39.69	138.88
39.52	137.197
39.37	135.513
39.2	134.283
39.03	132.859
38.87	131.37
38.7	129.881
38.35	127.55
38.02	124.701
37.7	121.852
37.37	119.392
37.04	116.802
36.87	115.636
