"Xiao 98,Specimen nr. HC4-8L19-T10-0.2P"	
-12.937617	-239.94736
-17.833213	-256.51616
-23.109047	-270.72752
-27.665553	-277.31056
-32.32658	-279.93488
-36.921186	-278.8896
-40.862885	-274.41936
-39.953565	-215.21648
-38.223444	-157.85952
-36.4617	-108.13088
-34.661983	-65.25216
-31.987617	-13.6776
-28.166187	37.3632
-23.625429	81.04256
-19.132296	113.91328
-13.36548	147.60688
-7.668133	175.22896
-2.018411	202.58416
3.48869	230.20624
8.88492	256.27152
14.148054	278.35584
19.160871	295.99216
23.248366	305.71104
27.497532	313.09472
31.591377	317.29808
36.4617	315.98592
40.942133	310.71504
40.904033	299.66176
39.522527	247.57568
38.045898	197.84704
36.512246	153.38928
34.180272	96.2992
31.528131	48.1496
28.061539	1.04528
24.06269	-33.93824
18.422493	-72.34672
12.852146	-105.77344
7.300595	-138.39952
1.898015	-168.64592
-3.52044	-188.90656
-8.777224	-203.89632
-13.834364	-213.37056
-19.0373	-219.41984
-24.449278	-220.732
-29.934281	-213.10368
-45.847	-146.27248
-44.491021	-103.12688
-42.155745	-54.73264
-39.709598	-15.7904
-36.515548	20.77216
-32.386778	56.0448
-28.254833	82.35472
-24.183213	102.61536
-19.953097	118.40576
-15.757652	129.4368
-11.524488	138.13264
-7.376668	148.1184
-3.1877	156.0136
0	163.9088
