"Paultre, Legeron, Mongequ, July-August 2001 test 1005540"	
3735	
-26.36	-83.32
-25.87	-81.54
-25.49	-79.75
-25.04	-77.98
-24.62	-75.93
-24.15	-74.4
-23.59	-72.63
-23.24	-70.85
-22.81	-69.07
-22.39	-67.28
-21.97	-65.49
-21.45	-63.71
-21.1	-61.94
-20.67	-60.16
-20.25	-58.37
-19.69	-56.58
-19.38	-54.79
-18.82	-53.01
-18.55	-51.24
-18.13	-49.45
-17.6	-47.66
-17.28	-45.88
-16.88	-44.09
-16.48	-42.29
-16.03	-40.5
-15.57	-38.71
-15.21	-36.91
-14.74	-35.12
-14.29	-33.33
-13.83	-31.54
-13.54	-29.75
-13.02	-27.96
-12.71	-26.17
-12.26	-24.36
-11.75	-22.57
-11.37	-20.78
-11.02	-18.99
-10.59	-17.17
-10.24	-15.37
-9.77	-13.57
-9.23	-11.8
-8.94	-10
-8.45	-8.21
-8	-6.4
-7.67	-4.69
-7.31	-2.93
-6.89	-1.13
-6.51	0.67
-6	2.48
-5.62	4.27
-5.26	6.07
-4.75	7.87
-4.44	9.67
-4.01	11.46
-3.5	13.26
-3.17	15.07
-2.74	16.87
-2.21	18.67
-1.83	20.47
-1.34	22.28
-1	24.06
-1.09	22.13
-1.2	20.25
-1.47	18.38
-1.85	16.52
-2.12	14.65
-2.32	12.8
-2.65	10.94
-2.92	9.1
-3.25	7.24
-3.52	5.39
-3.95	3.55
-4.28	1.7
-4.5	-0.15
-4.79	-1.98
-4.21	-6.75
-3.95	-4.9
-3.79	-4.62
-3.72	-3.12
-3.41	-1.29
-3.1	0.56
-2.81	2.4
-2.45	4.27
-2.23	6.11
-1.92	7.93
-1.45	9.8
-1.25	11.64
-0.82	13.48
-0.49	15.31
-0.15	17.15
0.05	18.98
0.4	20.82
0.87	22.67
1.23	24.49
1.56	26.3
1.88	28.14
2.32	29.96
2.68	31.79
2.99	33.62
3.3	35.42
3.64	37.25
4.04	39.07
4.42	40.89
4.91	42.7
5.22	44.53
5.64	46.37
