Galeota 1996 Specimen CA3	
2128	
9.11	61.36155
9.63	62.31065
10.15	63.2377
10.67	64.07645
11.2	64.89315
11.72	65.70985
12.27	66.19545
12.8	67.23285
13.4	68.0495
13.95	68.6896
14.49	69.3297
15.06	69.96985
15.64	70.5658
16.23	71.16175
16.83	71.6915
17.41	72.2212
18.01	72.75095
18.62	73.2145
19.12	73.56765
19.66	73.89875
20.25	74.20775
20.81	74.5609
21.31	74.8699
21.84	75.17895
22.37	75.4438
22.93	75.6866
23.47	75.9294
24.01	76.0839
24.55	76.19425
25.12	76.3929
25.77	76.61365
26.42	76.7461
27.06	76.83435
27.71	76.9006
28.35	76.9668
28.99	76.92265
29.61	76.92265
30.13	76.92265
30.72	76.52535
31.23	76.28255
31.76	76.21635
32.32	76.1501
32.87	76.06185
33.37	75.97355
33.87	75.7528
34.42	75.6204
34.99	75.24515
35.49	75.02445
36.02	74.91405
36.52	74.6492
37.05	74.03115
37.07	71.86805
36.86	70.323
36.6	68.57925
36.42	67.2549
36.21	65.70985
36	64.2751
35.79	62.8404
35.58	61.4057
35.36	59.92685
35.17	58.5804
34.95	57.1457
34.74	55.75515
34.54	54.38665
34.33	53.0402
34.12	51.6938
33.92	50.3253
33.71	48.97888
33.51	47.69867
33.29	46.35225
33.09	45.0279
32.88	43.70355
32.68	42.46749
32.46	41.14314
32.27	39.86293
32.07	38.64895
31.86	37.41289
31.65	36.15475
31.29	34.10202
30.99	32.15963
30.69	30.28347
30.34	28.23073
30.14	27.08296
29.94	25.95726
29.57	23.86037
29.24	22.05043
28.91	20.28463
28.56	18.40846
28.18	16.37779
27.9	14.94308
27.68	13.7291
27.35	12.05159
27.02	10.39615
26.71	9.027655
26.42	7.791595
26.12	6.55553
25.64	4.745587
25.27	3.156368
24.89	2.03067
24.55	0.7725375
24.08	-0.6842475
23.72	-1.920308
23.31	-3.156368
22.66	-4.76766
22	-6.29066
21.5	-7.23978
20.8	-8.47584
20.08	-9.68983
19.34	-10.85967
18.63	-11.875
18.12	-12.55925
17.61	-13.22143
16.87	-14.19261
16.37	-14.78858
15.87	-15.38453
15.36	-15.95842
14.85	-16.55437
14.33	-17.08411
13.83	-17.68007
13.29	-18.32018
12.72	-18.96028
12.19	-19.55623
11.61	-20.28463
11.04	-20.96888
10.48	-21.60898
9.9	-22.29322
9.34	-23.08784
8.77	-23.92659
8.21	-24.76534
7.64	-25.58203
7.08	-26.50908
6.52	-27.50233
5.98	-28.51767
5.45	-29.57715
4.9	-30.74699
4.38	-31.93891
3.84	-33.1529
3.32	-34.52139
2.77	-35.9561
2.24	-37.45703
1.74	-39.00211
1.2	-40.6134
0.66	-42.33506
0.15	-43.99049
-0.37	-45.80044
-0.87	-47.56624
-1.42	-49.30996
-1.94	-51.09785
-2.46	-52.84155
-2.99	-54.497
-3.51	-56.1745
-4.05	-57.82995
-4.59	-59.3971
-5.14	-60.89805
-5.65	-62.3548
-6.18	-63.7233
-6.74	-65.1139
-7.28	-66.3941
-7.89	-67.63015
-8.45	-68.8441
-9.05	-69.96985
-9.61	-71.07345
-10.22	-72.13295
-10.81	-73.14825
-11.4	-74.05325
-11.97	-74.93615
-12.59	-75.8411
-13.2	-76.6578
-13.81	-77.43035
-14.43	-78.2691
-15.05	-78.95335
-15.67	-79.6817
-16.29	-80.4322
-16.91	-81.0502
-17.53	-81.6462
-18.16	-82.2642
-18.79	-82.77185
-19.43	-83.3016
-20.07	-83.7872
-20.69	-84.25075
-21.33	-84.6922
-21.97	-85.11155
-22.64	-85.4868
-23.25	-85.8179
-23.92	-86.0607
-24.6	-86.3476
-25.25	-86.5904
-25.9	-86.74495
-26.57	-86.9215
-27.25	-87.076
-27.92	-87.0981
-28.59	-87.1643
-29.27	-87.12015
-29.93	-87.12015
-30.61	-87.03185
-31.33	-86.9215
-32.01	-86.78905
-32.7	-86.56835
-33.4	-86.32555
-34.1	-86.0607
-34.74	-85.6413
-35.09	-84.5156
-35.65	-84.4494
-36.18	-84.4494
-36.72	-83.5444
-37.22	-82.88225
-37.74	-82.6615
-38.05	-81.49165
-37.95	-80.14525
-37.82	-78.93125
-37.65	-77.71725
-37.44	-76.4812
-37.23	-75.17895
-37.03	-73.87665
-36.76	-72.3757
-36.5	-70.8748
-36.24	-69.2856
-36.01	-67.6522
-35.75	-66.1292
-35.45	-64.54
-35.22	-63.03905
-34.96	-61.51605
-34.69	-59.9489
-34.45	-58.49215
-34.16	-57.03535
-33.9	-55.5565
-33.64	-54.0997
-33.35	-52.665
-33.06	-51.31855
-32.8	-50.06045
-32.56	-48.84644
-32.27	-47.50002
-31.99	-46.04324
-31.72	-44.6306
-31.45	-43.19588
-31.18	-41.76117
-30.92	-40.30439
-30.67	-38.86967
-30.41	-37.52325
-30.11	-36.02232
-29.82	-34.69797
-29.57	-33.04253
-29.3	-31.62989
-29.03	-30.21725
-28.75	-28.84875
-28.49	-27.48026
-28.25	-26.28835
-27.99	-25.00814
-27.72	-23.61757
-27.45	-22.29322
-27.19	-20.96888
-26.93	-19.62245
-26.67	-18.32018
-26.39	-17.08411
-26.12	-15.80391
-25.84	-14.54578
-25.6	-13.30972
-25.31	-12.13988
-25	-10.97003
