"Pujol 2002, No. 10-3-1.5S"	
13.14318471	2.691667852
13.21619589	2.758527648
13.12161756	2.736240967
13.10155452	3.516271391
13.1398496	3.516271391
13.08178898	3.538558093
13.15714061	3.516271391
13.10675893	3.516271391
13.07455311	4.384333965
13.11478517	4.428907081
13.09378748	4.428907081
13.10000698	4.428907081
13.05478758	4.406620668
13.08550587	5.877535038
13.12320723	5.832961656
13.07773884	5.855248358
13.11124831	5.810675509
13.09679062	5.810675509
13.068792	2.445401226
12.91072646	2.423114523
13.01521821	2.445401226
12.96463095	2.423114523
13.09528139	2.423114523
12.94988469	3.091712057
13.01142343	3.047138942
12.94517442	3.091712057
13.03284503	3.091712057
12.94198869	3.091712057
12.83108592	3.297305947
12.78715868	3.252732564
12.83114465	3.252732564
12.79823913	3.252732564
12.79728022	3.275019267
12.76267777	1.536665669
12.72909806	1.536665669
12.7438239	1.5143791
12.75982274	1.536665669
12.7804859	1.536665669
12.74944839	2.85157428
12.72597618	2.873860693
12.66607308	2.896147395
12.71736898	2.85157428
12.7269402	2.85157428
12.68097895	2.628708435
12.72598129	2.628708435
12.67804476	2.584135052
12.66771255	2.628708435
12.72379789	2.628708435
12.31308083	-2.118334144
12.30729673	-2.185193806
12.30922476	-2.162907259
12.30729673	-2.185193806
12.30922476	-2.162907259
11.70375463	-9.16089492
11.71862347	-9.138607684
11.6066175	-9.138607684
11.66472153	-9.138607684
11.68224748	-9.16089492
11.66052327	-8.046286793
11.52739704	-8.001713411
11.62096539	-8.068573473
11.69975556	-8.024000091
11.53751347	-8.068573473
11.53957302	-7.645128486
11.59958593	-7.667414655
11.62544456	-7.667414655
11.51065763	-7.689701335
11.64009378	-7.622841806
11.30349747	-10.78753641
11.42168846	-10.8321098
11.33019371	-10.78753641
11.31370838	-10.8321098
11.38658677	-10.8321098
11.08552883	-12.88247574
11.07184108	-12.90476188
11.11942775	-12.9270491
11.0957755	-12.88247574
11.02300054	-12.8601885
10.57160836	-16.11403041
10.49106828	-16.13631655
10.5521231	-16.11403041
10.58168777	-16.11403041
10.55044724	-16.11403041
10.24406423	-17.8523848
10.29645311	-17.8523848
10.27305049	-17.83009652
10.27234121	-17.87467095
10.29048196	-17.87467095
10.29790361	-16.40375578
10.24440387	-16.42604195
10.20560955	-16.42604195
10.28614963	-16.40375578
10.214746	-16.44832916
10.18556311	-15.69058489
10.26062617	-15.69058489
10.20832986	-15.66829872
10.24037288	-15.7128721
10.22395715	-15.66829872
9.807367883	-19.83588908
9.884237677	-19.7690306
9.760113191	-19.81360291
9.8696025	-19.81360291
9.912858757	-19.79131677
9.541656802	-21.41823823
9.57624904	-21.41823823
9.494908379	-21.39594995
9.565874688	-21.3736638
9.629820275	-21.41823823
9.487934261	-20.21476229
9.540725984	-20.23704843
9.523092778	-20.23704843
9.487946391	-20.21476229
9.553589541	-20.21476229
9.081746163	-24.09262832
9.03667232	-24.07034004
9.063440062	-24.09262832
9.129438174	-24.09262832
8.984446239	-24.07034004
8.614761174	-26.65558548
8.5347446	-26.67787163
8.59505246	-26.6332972
8.568084254	-26.65558548
8.584041602	-26.65558548
8.470970748	-24.71665138
8.551969215	-24.73893755
8.531254987	-24.71665138
8.558897367	-24.69436524
8.515701121	-24.73893755
8.523087021	-24.62750464
8.566105785	-24.5829323
8.479525598	-24.60521847
8.538371473	-24.62750464
8.584884957	-24.62750464
7.627634296	-30.91232259
7.64677673	-30.91232259
7.564504612	-30.91232259
7.617990299	-30.89003642
7.601138522	-30.86774814
7.535267456	-29.26311495
7.566200898	-29.21854262
7.549570654	-29.21854262
7.594915188	-29.21854262
7.509786772	-29.21854262
7.461951116	-29.17396819
7.579432187	-29.15168202
7.548495552	-29.19625434
7.558104435	-29.15168202
7.568418775	-29.17396819
6.881501367	-34.90162153
6.956221595	-34.90162153
6.93993546	-34.90162153
6.99226688	-34.87933325
6.906888841	-34.85704711
6.393209694	-37.50914889
6.423456834	-37.46457658
6.347900273	-37.46457658
6.416671051	-37.44229255
6.428769141	-37.44229255
6.272748472	-35.57021907
6.398928037	-35.59250521
6.345049721	-35.54793079
6.387338131	-35.59250521
6.340352214	-35.54793079
6.353833764	-35.21446772
6.351556514	-35.236756
6.3959581	-35.25904217
6.277698155	-35.19218157
6.366497495	-35.236756
6.322376177	-34.70187757
6.301084816	-34.76873605
6.390016309	-34.74644988
6.264818637	-34.76873605
6.399765646	-34.74644988
6.274153638	-34.63501697
6.3367745	-34.63501697
6.342665854	-34.63501697
6.305617609	-34.65730312
6.304271816	-34.65730312
5.867353294	-39.89465248
5.866467164	-39.82779188
5.8240632	-39.85007592
5.892503913	-39.82779188
5.840206968	-39.8055036
4.588797797	-43.70565578
4.561179358	-43.68337175
4.487733738	-43.66108347
4.54683977	-43.66108347
4.504622544	-43.63879519
4.465926852	-42.68047548
4.554220243	-42.7250478
4.549049667	-42.68047548
4.551728165	-42.68047548
4.499209686	-42.63589892
4.521823857	-41.63300263
4.450125597	-41.63300263
4.553302193	-41.65529091
4.503117465	-41.6107186
4.492579678	-41.67757919
3.91094821	-48.05153968
3.816742396	-48.05153968
3.865273293	-48.05153968
3.834304098	-48.02925562
3.932712323	-48.02925562
3.063758564	-52.84315522
2.962163977	-52.84315522
3.050857978	-52.7985829
3.006021308	-52.7985829
3.057915729	-52.7985829
2.971097411	-51.37224323
3.00725857	-51.39452726
2.939432018	-51.39452726
3.006928825	-51.39452726
2.977375969	-51.39452726
2.469361377	-55.40611237
2.488161937	-55.40611237
2.540057156	-55.40611237
2.478696538	-55.38382834
2.497933618	-55.36154006
2.493994716	-54.29178317
2.530190828	-54.26949914
2.428798302	-54.22492258
2.495433718	-54.26949914
2.452272586	-54.26949914
2.438603819	-52.82087118
2.478142867	-52.84315522
2.494015305	-52.82087118
2.42282475	-52.82087118
2.479912093	-52.82087118
2.454369163	-52.37513949
2.44268493	-52.39742355
2.47458606	-52.39742355
