"Aboutaha, Engelhardt, Jirsa and Kreger, Test ORC1"	
6285	
-9.8228274	-90.1173696
-9.8449583	-90.0502048
-9.8303263	-90.0164
-9.8208155	-89.9323328
-9.8281315	-89.9492352
-9.8328869	-89.8647232
-9.8369107	-89.8647232
-9.8160601	-88.0121312
-9.8160601	-87.9783264
-9.8268512	-87.961424
-9.7970385	-87.9783264
-9.8378252	-87.9445216
-9.7597269	-85.9905152
-7.936031	-61.280096
-6.5189218	-46.1199776
-5.397379	-36.26601184
-4.7233925	-29.74720096
-4.1501839	-24.98023488
-3.6702543	-20.93758112
-2.5593197	-13.02071936
-0.8453638	-0.909616
1.01140042	11.35312858
2.64416701	23.95273798
4.37171238	36.06386358
6.01781238	48.09075296
7.504387	60.11765568
8.34484908	66.73752512
8.91533247	72.24566144
9.85093913	80.17933664
10.04382547	81.42584416
10.95726465	90.43758112
10.98634575	89.94910176
11.38980486	93.77278048
11.59459799	94.76659712
11.60015815	94.39603424
11.58823307	94.109672
11.59693911	93.97494208
11.5843373	93.87383904
11.59417732	93.68857984
11.59503695	93.5874768
11.60123726	93.4696048
11.59077538	93.41903104
11.60167622	93.30115904
11.60143845	93.23377184
11.59061077	93.18324256
11.58777582	93.09899744
11.16337466	86.12542304
9.71608696	70.25798368
8.56663362	57.96157664
7.61288328	48.52870304
6.83109552	41.11718746
6.14011761	35.15426538
5.52365316	30.26939171
4.98678679	26.14251062
4.49963264	22.58834512
4.12724824	19.67426016
3.8312063	17.14760045
3.50511389	14.99151696
3.226356	13.10494669
2.97247251	10.79726202
2.71997906	9.971886688
2.53960308	8.50642192
2.27829385	6.889360416
1.90003836	4.345856128
1.16071998	-1.44862464
-0.4268886	-12.3974656
-2.5969971	-26.98472608
-4.9295208	-42.78477824
-7.1451714	-61.9370656
-9.0429418	-82.7901792
-10.9079731	-102.0433472
-11.2865761	-103.9132864
-11.3246193	-103.7278048
-11.328826	-103.4751584
-11.3372394	-103.3065792
-11.3427264	-103.1549024
-11.3558952	-103.0370304
-11.378209	-102.9191584
-11.3538833	-102.784384
-11.378209	-102.7003168
-11.3685153	-102.5824448
-11.3696127	-102.4983776
-11.3516885	-102.430768
-11.3679666	-102.3636032
-11.3780261	-102.312896
-11.3657718	-102.2457312
-11.3676008	-102.1612192
-11.3719904	-102.1443168
-11.268469	-99.8704992
-11.158729	-97.9502976
-11.1069683	-97.4281024
-10.7887223	-93.1664736
-10.4629774	-89.2584608
-10.1076027	-85.5697344
-9.5493919	-78.393776
-8.5593542	-67.327152
-7.8725647	-58.230992
-7.166022	-50.5163808
-6.4726481	-44.16601568
-5.7269648	-37.8493664
-4.9187297	-30.70734624
-4.3596044	-25.85613504
-3.9069269	-22.47045088
-3.5563076	-20.09535232
-3.3145138	-18.19196416
-3.0140091	-16.59175168
-2.7383788	-14.67146112
-2.0073275	-9.46654496
-1.315051	-4.76696608
0.3723844	6.350338432
2.0471997	18.49515318
3.73328164	30.9094767
5.37605286	42.98691315
7.0462225	54.82853888
8.5090567	67.46183744
10.01900594	80.83630624
11.6304281	95.64249728
12.37492255	101.2011629
12.38000717	100.6452963
13.27738773	109.1180246
13.31544922	108.2926538
13.31586989	107.8210323
14.25914006	117.8771152
14.39179743	117.456023
14.39322405	116.7148528
14.39324234	116.4116771
14.26369427	110.8866829
14.26980313	110.8530115
14.2747963	110.8193402
14.26356624	110.8024822
14.27390009	110.8530115
14.2832097	110.8193402
14.06954592	105.3617331
13.49359382	98.13546784
12.8659176	91.56617216
12.36158914	85.41796864
11.86009563	79.89301888
11.33969026	74.90707776
10.8798065	70.2748416
10.38882974	65.9458256
9.99941735	61.93688768
9.61384586	58.16373824
9.02454206	52.8409056
8.37063798	46.86114784
7.76313563	41.65620499
7.22882986	37.22613043
6.72369664	32.96449718
6.21708193	28.75339322
5.72632465	25.14869398
5.2768479	22.01563398
4.8750166	19.42159597
4.51530717	17.09706672
4.25518679	15.19365187
4.02797012	13.52605219
3.8081609	11.99321357
3.59789906	10.5951271
3.37549266	9.331797248
3.20420681	8.017933664
2.93821534	6.6535408
2.65700659	4.76696608
2.36420198	2.796172928
