"Pujol 2002, No. 10-1-2.25S"	
32189	
0.890877669	37.83646083
0.918695255	37.85874911
0.817293244	37.83646083
0.887339186	40.33256162
1.024257923	40.33256162
0.962836042	40.31027333
0.959318077	40.31027333
1.00137598	40.28798505
0.927495756	39.12908354
1.005414886	39.08451122
0.992143158	39.08451122
0.97945121	39.06222294
1.038274457	39.1067995
1.109639795	43.40810681
1.095588452	43.38582278
1.087960606	43.40810681
1.009548878	43.34125046
1.135402519	43.38582278
1.101393207	44.65615723
1.14805351	44.72301782
1.105689749	44.67844551
1.151276795	44.76759014
1.104157026	44.63386895
1.154842183	44.21042554
1.187194067	44.23271382
1.055116524	44.18813726
1.192472132	44.21042554
1.151476708	44.21042554
1.182023303	43.56411631
1.165529647	43.51953975
1.12088716	43.45268338
1.171316678	43.49725571
1.132031775	43.54182803
1.158084868	43.20752927
1.136596491	43.20752927
1.196388168	43.20752927
1.150163139	43.16295693
1.164473156	43.20752927
1.285627634	47.10768145
1.194237741	47.10768145
1.313989872	47.06310914
1.271953604	47.12996973
1.260195438	47.01853682
1.263544706	46.6396615
1.301719627	46.57280513
1.199916193	46.57280513
1.357498185	46.57280513
1.243189544	46.59508917
1.249289937	46.19392982
1.267037043	46.2162181
1.315080853	46.2162181
1.268205148	46.2162181
1.23998574	46.2162181
1.19168637	45.97106397
1.313716747	45.94877994
1.260758293	46.01564053
1.287752752	45.92649166
1.303065529	45.97106397
1.38025622	49.47006105
1.393492501	49.42548449
1.373173026	49.42548449
1.439802636	49.44777277
1.4091485	49.47006105
1.365271177	48.33344357
1.430919582	48.40030418
1.460298711	48.35573185
1.366746257	48.40030418
1.432065731	48.35573185
1.394235949	48.31115528
1.410093139	48.28887125
1.425620919	48.26658297
1.409055409	48.24429894
1.478140665	48.28887125
1.52105323	51.78786408
1.537818972	51.8547247
1.496399371	51.83243642
1.562852699	51.74329177
1.509436217	51.74329177
1.566273103	50.13865858
1.609490169	50.07179796
1.528076067	50.16094262
1.572081609	50.16094262
1.56483363	50.1163703
1.521995633	49.51463336
1.599204368	49.53691742
1.562885752	49.4923451
1.567160578	49.47006105
1.56836437	49.51463336
1.705523817	53.61536313
1.689633894	53.48164616
1.688687499	53.57079082
1.748126293	53.52621848
1.63157661	53.45935788
1.685192367	52.90219328
1.648358639	52.70161574
1.746415692	52.879905
1.727369628	52.90219328
1.7260951	52.879905
1.770517235	51.54270998
1.713168589	51.56499826
1.777070307	51.54270998
1.726770526	51.56499826
1.760102416	51.54270998
1.764908961	51.56499826
1.677014758	51.52042592
1.77650346	51.56499826
1.728188283	51.54270998
1.741316143	51.58728654
1.699861573	51.52042592
1.788665765	51.54270998
1.748013083	51.54270998
1.669731172	51.43127704
1.775630515	51.52042592
1.911160317	56.20060857
1.871746716	56.17832029
1.877720487	56.20060857
1.855854398	56.15603626
1.887532691	56.17832029
1.902457377	55.04170705
1.841944607	54.99713049
1.921172116	55.01941877
1.855144641	55.01941877
1.950901892	55.13085168
1.932438482	58.16182881
2.017911209	58.22868516
2.036352424	58.29554576
1.949969867	58.25097344
2.044619131	58.22868516
1.99225906	57.3372218
2.057778448	57.3372218
2.006605243	57.31493777
2.062476094	57.44865472
1.971667818	57.31493777
2.026299749	56.75777317
2.050172796	56.80234549
2.066573361	56.82463377
1.982811395	56.80234549
2.073291059	56.82463377
2.169941533	60.27905428
2.1496805	60.256766
2.173365769	60.256766
2.223844067	60.23447772
2.120351668	60.23447772
2.221286229	61.48252811
2.322416872	61.48252811
2.267218094	61.46023983
2.244170567	61.41566752
2.320410392	61.48252811
2.253761462	60.70249769
2.335396234	60.70249769
2.294850535	60.72478597
2.306739157	60.79164232
2.294943945	60.74707
2.278468014	59.766462
2.281596851	59.78874603
2.31283923	59.78874603
2.36825325	59.74417371
2.299817075	59.766462
2.332005371	58.47383929
2.329312767	58.47383929
2.320753534	58.47383929
2.353778209	58.49612757
2.346682081	58.45155101
2.374402664	58.28886013
2.334988743	58.26657609
2.33957302	58.1997155
2.35858172	58.24428781
2.346749305	58.26657609
2.370908011	58.22199953
2.355630762	58.22199953
2.347658017	58.35572072
2.351827936	58.1997155
2.350516842	58.24428781
2.366372755	58.33343244
2.349842534	58.35572072
2.331658237	58.31114841
2.390257778	58.378009
2.273164081	58.378009
2.366364132	63.05819165
2.466728493	63.03590337
2.461850893	63.03590337
2.421942618	63.01361509
2.514441535	63.03590337
2.605434236	66.89148324
2.707238708	66.89148324
2.653787257	66.84691092
2.719450672	66.80233436
2.648689145	66.75776205
2.669352081	65.55428819
2.682329687	65.4874276
2.704232342	65.46513931
2.626292455	65.46513931
2.758571109	65.44285528
2.699202891	63.65992857
2.748522426	63.6822126
2.659389144	63.65992857
2.729971355	63.70450088
2.798928711	63.6822126
2.733903837	63.23480951
2.773175966	63.1902372
2.684406424	63.21252548
2.772975095	63.14566486
2.721055408	63.2570978
2.778195517	62.54392795
2.751236905	62.566212
2.725876642	62.566212
2.79625926	62.566212
