"Pujol 2002, No. 20-3-3N"	
12980	
11.56	2.481
11.56	2.548
11.47	3.439
11.46	3.439
11.42	3.395
11.45	3.417
11.41	3.395
11.48	4.019
11.50	4.019
11.50	4.019
11.50	3.996
11.49	3.996
11.44	4.886
11.46	4.864
11.45	4.886
11.45	4.886
11.45	4.886
11.31	2.234
11.31	2.256
11.26	2.234
11.32	2.256
11.24	2.256
11.29	3.125
11.32	3.081
11.35	3.081
11.36	3.081
11.34	3.058
11.29	3.170
11.34	3.170
11.34	3.170
11.37	3.192
11.36	3.170
11.35	3.214
11.31	3.170
11.31	3.214
11.25	3.237
11.30	3.192
11.21	3.638
11.20	3.660
11.13	3.682
11.19	3.660
11.21	3.660
11.02	3.648
11.10	3.581
11.06	3.537
11.06	3.425
11.07	3.581
11.04	3.626
11.02	3.626
11.09	3.648
11.05	3.670
11.06	3.603
10.95	1.731
10.97	1.754
10.92	1.754
10.96	1.776
11.00	1.776
10.99	2.600
11.00	2.600
10.89	2.578
10.91	2.600
10.87	2.578
11.00	2.645
10.97	2.645
10.96	2.623
10.88	2.645
10.94	2.623
10.82	-0.074
10.82	-0.096
10.82	-0.074
10.82	-0.074
10.82	-0.096
10.82	0.015
10.83	0.038
10.83	0.038
10.82	-0.007
10.82	0.015
10.51	-6.938
10.49	-6.916
10.50	-6.938
10.49	-6.960
10.52	-6.916
10.23	-8.855
10.27	-8.833
10.24	-8.833
10.26	-8.810
10.29	-8.788
10.22	-7.362
10.14	-7.384
10.20	-7.362
10.20	-7.384
10.24	-7.339
10.19	-7.161
10.17	-7.183
10.21	-7.161
10.25	-7.161
10.21	-7.161
10.23	-6.849
10.22	-6.871
10.16	-6.804
10.20	-6.849
10.15	-6.827
10.11	-8.721
10.03	-8.721
10.09	-8.721
10.05	-8.721
10.10	-8.721
9.78	-11.128
9.81	-11.106
9.78	-11.017
9.88	-11.061
9.92	-11.061
9.51	-12.844
9.54	-12.866
9.57	-12.800
9.59	-12.844
9.56	-12.822
9.48	-10.415
9.55	-10.437
9.52	-10.437
9.52	-10.437
9.55	-10.393
9.49	-10.058
9.46	-10.058
9.54	-10.058
9.49	-10.036
9.51	-10.058
9.30	-13.334
9.24	-13.268
9.30	-13.312
9.32	-13.290
9.35	-13.290
8.87	-15.987
8.88	-15.987
8.80	-15.920
8.88	-15.920
8.91	-15.964
8.58	-17.703
8.63	-17.680
8.62	-17.658
8.67	-17.658
8.64	-17.613
8.57	-15.563
8.61	-15.585
8.53	-15.608
8.53	-15.563
8.55	-15.563
8.14	-19.998
8.17	-19.976
8.13	-19.954
8.09	-19.954
8.17	-19.976
7.81	-22.271
7.77	-22.227
7.69	-22.227
7.73	-22.204
7.72	-22.182
7.72	-19.129
7.69	-19.107
7.67	-19.107
7.72	-19.151
7.65	-19.129
7.65	-18.705
7.64	-18.683
7.64	-18.750
7.72	-18.705
7.68	-18.728
7.44	-22.249
7.39	-22.249
7.42	-22.227
7.37	-22.227
7.44	-22.182
7.15	-24.188
7.18	-24.188
7.11	-24.188
7.09	-24.166
7.07	-24.143
6.63	-26.372
6.61	-26.417
6.70	-26.372
6.70	-26.394
6.64	-26.394
6.59	-24.366
6.62	-24.433
6.65	-24.433
6.59	-24.411
6.53	-24.433
6.15	-28.734
6.18	-28.734
6.14	-28.712
6.21	-28.668
6.27	-28.712
5.73	-30.829
5.76	-30.829
5.75	-30.829
5.77	-30.807
