"Pujol 2002, No. 10-1-2.25N"	
32189	
0.053880853	0.261003318
0.058136822	0.283289909
0.084906469	0.283289909
0.007468538	0.3055765
0.05640483	0.327863069
0.072480775	0.283289909
-0.004190202	0.283289909
0.079125985	0.372436229
0.115839049	0.283289909
0.005948358	0.3055765
0.041746936	0.283289909
0.085659697	0.3055765
0.024006593	0.261003318
0.095206261	0.216430158
0.067153045	0.3055765
-0.034208308	0.216430158
-0.03111676	0.261003318
0.059500344	0.261003318
0.05762414	0.238716727
-0.003635705	0.3055765
0.114623431	0.261003318
0.038604183	0.194143567
0.068677191	0.194143567
0.041192169	0.261003318
0.034847465	0.261003318
0.079277492	0.216430158
0.027560258	0.3055765
0.032413169	0.327863069
0.067906298	0.327863069
0.006410466	0.3055765
0.044588547	0.283289909
0.089929353	0.283289909
-9.11508E-05	0.283289909
0.084601629	0.3055765
0.062129792	0.3055765
0.015744228	0.261003318
0.101389366	0.3055765
0.031303538	0.283289909
0.050323852	0.327863069
0.063649965	0.3055765
0.030693885	0.327863069
0.052652431	0.283289909
0.041612454	0.283289909
0.063649965	0.3055765
0.057462903	0.327863069
0.028817684	0.3055765
0.061168068	0.216430158
0.095667753	0.216430158
0.042911088	0.261003318
0.054583165	0.238716727
0.070803062	0.261003318
0.087392313	0.261003318
0.070341581	0.261003318
0.029376148	0.216430158
0.101578372	0.238716727
0.125528572	0.261003318
0.082263319	0.283289909
0.044181589	0.216430158
0.087485324	0.283289909
0.075059036	0.283289909
0.116698371	0.283289909
0.118430987	0.238716727
0.046150819	0.261003318
0.104776637	0.261003318
0.069892544	0.216430158
0.115483023	0.261003318
0.012999325	0.171856975
0.08575669	0.216430158
0.100122822	0.238716727
0.091532822	0.238716727
0.05762414	0.238716727
0.027195129	0.216430158
0.084485814	0.261003318
0.114110404	0.216430158
0.055484581	0.216430158
0.041497004	0.238716727
0.091615694	0.216708728
0.064093173	0.194422136
0.080618155	0.194422136
0.122506818	0.238995319
0.090451901	0.238995319
0.114126881	1.799056187
0.079903628	1.754483071
0.076401157	1.754483071
0.091761118	1.776769618
0.076401157	1.754483071
0.098311516	2.757379339
0.042130087	2.757379339
0.157492475	2.779665775
0.096990443	2.757379339
0.132746572	2.757379339
0.137465964	4.785458599
0.13336727	4.785458599
0.148066655	4.807745279
0.093973229	4.785458599
0.154202506	4.740885217
0.124790354	4.740885217
0.153712642	4.718598537
0.137613514	4.740885217
0.129919342	4.718598537
0.147303667	4.718598537
0.136888349	5.431769431
0.159955775	5.431769431
0.154484472	5.387196048
0.134245205	5.431769431
0.131509069	5.409482729
0.24847817	7.170122761
0.106791849	7.303842375
0.195124919	7.214696144
0.137570861	7.170122761
0.23260098	7.214696144
0.211840163	8.641037421
0.171272589	8.596464572
0.23552697	8.663324101
0.210518691	8.641037421
0.23907192	8.641037421
0.159581576	9.175915319
0.227486622	9.198202533
0.226626631	9.198202533
0.268359036	9.220488702
0.154872872	9.220488702
0.258165308	9.265062084
0.194067828	9.220488702
0.249745652	9.24277487
0.172164156	9.198202533
0.271200338	9.220488702
0.153246969	9.24277487
0.271556673	9.24277487
0.197358476	9.265062084
0.275299361	9.220488702
0.177488308	9.28734823
0.252742198	11.38228755
0.269581091	11.42686094
0.213704492	11.40457372
0.288960797	11.38228755
0.206394099	11.42686094
0.305169652	13.74466504
0.292651331	13.72237887
0.301112423	13.72237887
0.276233062	13.70009165
0.303187722	13.74466504
0.309823826	13.76695225
0.285498618	13.76695225
0.324786615	13.78923842
0.324189988	13.78923842
0.317489256	13.76695225
0.226020184	14.74756133
0.361409971	14.76984854
0.319280154	14.74756133
0.360749115	14.76984854
0.270543214	14.72527516
0.338731494	16.19618928
0.364811493	16.17390311
0.319618526	16.12932973
0.370328632	16.08475635
0.360241268	16.10704356
0.335811832	16.93164632
0.407062085	16.93164632
0.363492057	16.97621971
0.394530052	16.95393356
0.312836419	16.95393356
0.378203896	18.15740846
0.404524486	18.11283612
0.353763722	18.11283612
0.395190349	18.15740846
0.368463186	18.13512229
0.436977244	18.11283612
0.367090498	18.09054997
0.35167477	18.13512229
0.434491379	18.13512229
0.358772974	18.15740846
0.492046325	20.18548716
0.404114559	20.16320102
0.465726095	20.23006161
0.385658734	20.20777544
0.464468972	20.23006161
0.388034582	20.31920838
0.471460792	20.27463393
0.432862373	20.27463393
0.449848866	20.27463393
0.442404686	20.29692009
0.427830646	22.90445168
0.555567777	22.88216553
0.461646911	22.88216553
0.507846431	22.88216553
0.465057095	22.85987725
0.495661732	22.85987725
0.505258934	22.81530492
0.538372588	22.81530492
0.450399186	22.81530492
0.503937541	22.81530492
0.495001196	22.85987725
0.449272278	22.92673785
0.528220595	22.83759108
0.512606431	22.88216553
0.495001196	22.85987725
0.475189289	23.90734797
0.538270196	23.92963412
0.557543678	23.90734797
0.534517708	23.8850618
0.539434308	23.90734797
0.560998651	24.95481655
0.536756714	24.91024424
0.551664475	24.999391
0.508611435	24.97710272
0.488028896	24.95481655
0.569155023	24.97710272
0.53274663	25.04396332
0.586696468	24.999391
0.504711128	24.97710272
0.538421049	24.97710272
0.53584892	27.16118881
0.622621005	27.09432819
0.583505078	27.16118881
0.569004369	27.13890264
0.598019319	27.13890264
0.522752715	27.09432819
0.623322658	27.07204204
0.59733571	27.11661647
0.589640919	27.09432819
0.638419953	27.09432819
0.607086998	28.00807983
0.636763163	28.00807983
0.59598334	28.00807983
0.611671035	28.030366
0.618034054	27.98579157
0.655913016	29.36756104
0.613215613	29.36756104
0.704095384	29.36756104
0.599625493	29.38984719
0.637456992	29.41213336
0.630147617	29.43441953
0.678370742	29.41213336
0.60312793	29.38984719
0.662918169	29.36756104
0.633441119	29.36756104
0.705287998	29.36756104
0.683066472	29.41213336
0.664305548	29.47899395
0.691143405	29.36756104
0.63276733	29.41213336
0.731814689	30.30359671
0.675489003	30.23673823
0.66036568	30.30359671
0.745668194	30.28131055
0.665998584	30.2590244
0.714166741	31.50707268
0.671334971	31.50707268
0.694893299	31.52935883
0.70565086	31.57393328
0.697032468	31.551645
0.712845428	31.50707268
0.72414836	31.50707268
0.710756956	31.52935883
0.714984997	31.52935883
0.729620032	31.551645
0.733321145	31.551645
0.706658331	31.52935883
0.72368618	31.50707268
0.740788438	31.551645
0.730783746	31.52935883
0.806221202	34.07002984
0.755409342	34.0254575
0.832448821	34.00316922
0.782229516	34.07002984
0.730118459	34.04774367
0.814649341	35.87524483
0.853488032	35.85295655
0.821590185	35.87524483
0.902424346	35.87524483
0.776512743	35.87524483
0.958060953	35.74152364
0.904560242	35.83066827
0.91804354	35.83066827
0.913880167	35.83066827
0.952941046	35.83066827
1.002316148	35.83066827
0.947484144	35.85295655
0.903886093	35.87524483
0.936841868	35.85295655
0.959711756	35.85295655
0.920021837	36.45469347
0.934378957	36.41012115
1.010347175	36.43240943
0.939189494	36.45469347
0.990916373	36.43240943
1.015496223	37.85874911
0.999013664	37.83646083
0.992072501	37.83646083
