"Wehbe et al. 1998,Specimen A2"	
-9.778999746	-140.85775
-11.45540025	-155.80092
-12.43329975	-163.39499
-13.55090051	-173.43876
-14.52880076	-181.2778
-15.08759949	-184.21744
-15.92579924	-193.03636
-17.4625	-204.30498
-18.99920076	-216.06354
-20.25650025	-225.3724
-22.07260051	-240.56054
-23.46960051	-250.84928
-24.44749949	-258.44335
-26.9621	-277.06107
-28.9179	-290.28945
-29.8958	-296.4137
-30.734	-301.55807
-31.4325	-306.2125
-31.9913	-311.60184
-33.6677	-322.38052
-34.5059	-327.52489
-35.4838	-334.13908
-36.1823	-337.56866
-36.74109746	-340.75327
-37.2999	-342.958
-37.8587	-347.12249
-38.4175	-349.81716
-38.8366	-351.04201
-39.2557	-353.98165
-39.9542	-357.41123
-40.0939	-356.67632
-40.3733	-357.90117
-40.513	-341.97812
-40.513	-341.73315
-40.513	-341.97812
-40.3733	-339.77339
-40.0939	-335.85387
-39.5351	-329.23968
-38.6969	-318.70597
-37.99840254	-309.39711
-37.0205	-296.65867
-35.7632	-283.18532
-34.925	-272.16167
-34.3662	-265.79245
-33.2486	-252.3191
-31.9913	-238.84575
-31.0134	-228.80198
-30.1752	-219.49312
-29.6164	-213.1239
-28.0797	-197.93576
-26.6827	-184.95235
