"Ono et al. 1989, Specimen CA025C"	
0.87043	5.0925
1.6904	7.5176
2.5104	9.9426
3.2169	12.61
3.7846	15.762
4.6297	20.127
5.4877	26.675
6.2697	35.162
7.0645	42.195
7.8844	49.711
8.4773	54.564
9.0576	60.141
8.7043	50.196
8.288	38.315
7.7457	26.432
7.0267	16.247
6.2824	9.2149
5.538	3.6375
4.6802	-0.96998
3.2548	-3.6375
2.0689	-6.5475
0.93353	-8.0024
0.075689	-8.9725
-0.75689	-8.9725
-1.7787	-10.185
-2.3716	-11.882
-3.2294	-13.58
-3.8981	-16.975
-4.7053	-22.552
-5.7526	-30.555
-6.4717	-36.132
-7.0013	-40.982
-7.8971	-49.226
-8.3259	-53.834
-8.717	-57.957
-9.0449	-61.836
-8.9819	-53.109
-8.5908	-40.74
-8.1242	-31.04
-7.5689	-22.067
-7.1148	-16.49
-6.194	-10.185
-5.3236	-5.0925
-4.5288	-0.2425
