"Aboutaha, Engelhardt, Jirsa and Kreger, Test SC9"	
1.429304736	71.0507952
2.626059264	122.4227488
4.055461536	198.1724557
5.277563232	278.4640154
6.950573856	409.9329731
8.00356032	504.5272992
8.574767712	551.7806272
9.274320288	594.4525152
10.59904205	563.2506848
10.82611805	496.0578624
10.02750547	390.6092598
8.94179568	287.1455773
7.73222736	196.3974813
6.437449152	115.1355459
5.400970656	64.01668352
4.344948384	22.42140278
1.96766688	-32.3707648
1.200936384	-54.9519264
-0.26176224	-102.8817952
-1.6648176	-163.6548192
-2.33757216	-197.0726432
-3.76805952	-280.0225056
-4.97348256	-361.117552
-6.0618624	-447.58
-7.24314528	-543.349888
-8.1674208	-604.420928
-8.92369056	-642.75824
-8.72910624	-537.838816
-8.48051136	-498.10928
-8.1863184	-464.918304
-7.74606528	-407.4198976
-7.42444032	-373.4313952
-6.132576	-244.26192
-5.6241696	-204.8873344
-4.54493376	-134.545328
-3.37194144	-68.6606624
-2.44278912	-27.47009184
-2.0592288	-13.92975712
-0.95804736	15.9829895
0.905609568	51.00459328
2.07800448	80.26073504
2.866656192	104.890601
3.82304544	138.3083805
4.952658624	185.0757645
6.013009056	233.8699686
7.200217248	294.1575379
9.594567552	408.4140701
12.02300669	446.352352
12.07151866	425.6115059
11.50917485	351.3369782
10.54518998	271.5576058
9.52353696	203.1370464
8.484120192	144.3080208
7.464625152	96.39887968
6.799454016	69.5509296
5.236451808	19.49295078
2.486399904	-25.99139872
0.269638272	-79.2228832
-1.7751552	-155.3317216
-3.87595872	-257.6761984
-5.12661408	-332.1570688
-6.1392816	-401.274096
-7.5694032	-495.88528
-10.26615168	-448.820992
-11.22188256	-399.30808
-11.22285792	-372.2460032
-10.52888928	-306.0704384
-9.81663264	-250.9788448
-9.29432736	-216.6113728
-8.35017888	-160.3579616
-7.22875872	-103.8105376
-6.23352576	-61.0141056
-5.56589184	-38.2007584
-4.48958208	-7.98931968
-4.413504	-10.88038624
-4.41216288	-10.81967104
-2.83963872	19.10851014
-0.09070848	56.18015264
2.336986944	103.2850954
4.761878208	169.0011818
6.65536896	231.9486106
9.11723856	309.0939664
10.52030611	339.0447078
11.83988285	353.7691891
14.68853146	342.5948346
18.6795095	318.1961312
20.32297891	300.2853251
20.3717713	288.984425
19.43504774	214.141265
17.49662947	130.3249322
15.43204838	69.95231712
13.87400832	39.63995328
10.91619254	4.013488224
7.421197248	-15.1547808
4.033881696	-42.1298992
0.3249168	-94.7063712
-3.26001888	-167.6664704
-7.03563744	-239.4442912
-11.24712	-285.6647936
-13.4185152	-285.7693216
-16.133064	-262.449792
-16.26083616	-253.1330112
-15.86715648	-205.9650848
-14.80523328	-150.2405408
-13.50532224	-97.7897248
-11.6147088	-47.7910912
-9.49842144	-18.78804064
-6.6830448	-0.36131104
-2.78233632	15.1590064
3.606369216	43.25177376
7.887833856	73.83889056
10.60355309	101.0678118
14.05466938	143.1451802
17.00941277	175.6973789
20.15526576	192.130337
17.7078193	84.84435456
16.29488842	59.70688288
14.21989536	36.53442195
11.43648614	17.89770672
8.14681632	4.572495072
3.995793888	-6.95796192
-1.04704896	-25.12523968
-5.41922208	-52.1630304
-9.06463008	-88.3697504
-11.55082272	-120.75208
-14.26488384	-159.7463616
-15.99968352	-178.5453888
-16.06210656	-173.665488
-13.90912128	-71.9561856
-12.73795776	-46.6715296
-9.20581344	-15.13378624
-6.44188704	-2.55875648
-1.62482784	11.43383754
3.301240032	26.34808384
6.949659456	41.1819192
12.41600362	75.21158784
16.81062221	120.9450787
21.6115392	163.9523459
24.26248234	169.6347549
26.02182451	169.5289814
26.04270941	163.9942906
24.85831757	108.0169667
23.30556883	76.79614336
20.78597011	47.8994
18.08714899	30.81981837
14.36178586	15.37552614
8.712244704	-0.7232448
