Saatcioglu and Grira1999 Column BG-6	
9.968646	6.555094225
9.486279	2.788404863
8.986683	-0.05331141
8.487088	-3.515220669
7.987493	-10.73274164
7.47067	-12.47720973
6.988302	-13.24630395
6.488707	-13.57279635
5.989112	-18.2406383
5.489517	-21.97819453
4.989922	-23.61398176
4.490326	-29.38438906
3.990731	-30.29662006
3.491136	-35.48128875
2.991541	-39.32221277
2.491946	-39.99325228
1.992351	-44.38545897
1.492756	-44.91868085
0.9931607	-52.06729483
0.4935656	-52.11815198
-0.006029591	-52.27236474
-0.5056247	-56.21665046
-1.00522	-60.29875988
-1.504815	-64.0018845
-2.00441	-65.43094225
-2.504005	-68.68607903
-3.003601	-71.70006079
-3.503196	-75.19647416
-4.002791	-78.48607903
-4.502386	-79.01933131
-5.001981	-83.06699088
-5.501576	-83.77246201
-6.001172	-89.26723404
-6.500767	-90.42066869
-7.000362	-90.643769
-7.534412	-95.52899696
-8.016779	-96.29805471
-8.516374	-96.79683891
-9.015969	-103.1530091
-9.532792	-103.9327052
-10.03239	-104.5348328
-10.51475	-110.3688754
-11.01435	-111.2810942
-11.51394	-111.8487538
-12.01354	-112.3819453
-12.53036	-112.7826748
-13.01273	-118.6166565
-13.51233	-119.7356231
-14.01192	-122.0604863
-14.52874	-125.8722796
-15.01111	-126.2279027
-15.51071	-129.0351368
-16.0103	-129.9818237
-16.5099	-131.5831611
-17.00949	-133.9769605
-17.50909	-136.9564742
-18.00868	-139.2469301
-18.50828	-139.6767781
-19.00787	-142.6218237
-19.50747	-145.8425532
-20.00706	-147.0303951
-20.50666	-149.3897264
-21.00625	-152.0591489
-21.50585	-152.9024924
-22.00544	-153.6768389
-22.50504	-157.0353799
-23.00463	-159.0846201
-23.50423	-160.1690578
-24.00382	-163.079696
-24.50342	-164.0607903
-25.00302	-167.040304
-25.51984	-169.1982371
-26.0022	-169.6916717
-26.5018	-172.7400608
-27.0014	-174.4447416
-27.50099	-175.8737386
-28.00059	-177.1649848
-28.51741	-179.6674164
-29.017	-180.8552584
-29.5166	-182.5254711
-30.01619	-182.886383
-30.51579	-185.0389666
-31.01538	-185.3998176
-31.51498	-187.0355623
-32.01458	-188.8435866
-32.51417	-189.4457143
-33.01376	-189.8755015
-32.49694	-150.8851064
-31.99734	-143.9088146
-31.49775	-141.2393921
-30.99816	-135.5724012
